"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2024","66,800","66,200","66,800","65,500","9.76M","1.06%"
"09/16/2024","66,100","66,900","67,000","66,000","","-1.64%"
"09/13/2024","67,200","67,200","67,500","66,500","8.52M","-0.44%"
"09/12/2024","67,500","68,000","68,000","67,200","4.62M","-0.44%"
"09/11/2024","67,800","67,800","67,900","67,100","8.33M","0.00%"
"09/10/2024","67,800","67,500","68,700","67,500","7.23M","0.44%"
"09/09/2024","67,500","68,000","70,070","67,200","3.68M","-4.26%"
"09/06/2024","70,500","67,900","70,500","66,800","8.35M","3.83%"
"09/05/2024","67,900","68,900","70,500","67,600","8.48M","-1.31%"
"09/04/2024","68,800","66,000","69,800","66,000","4.46M","-1.43%"
"08/30/2024","69,800","69,100","70,000","64,710","5.30M","1.01%"
"08/29/2024","69,100","68,800","71,940","68,200","4.23M","-0.43%"
"08/28/2024","69,400","69,800","71,000","68,500","6.60M","-0.57%"
"08/27/2024","69,800","70,000","73,000","67,800","14.48M","0.00%"
"08/26/2024","69,800","69,900","74,000","69,500","5.96M","0.16%"
"08/23/2024","69,690","70,000","72,100","69,150","4.43M","-0.10%"
"08/22/2024","69,760","68,900","74,000","66,000","5.28M","-0.06%"
"08/21/2024","69,800","69,700","70,200","68,900","8.95M","0.43%"
"08/20/2024","69,500","69,000","69,500","67,480","8.14M","0.72%"
"08/19/2024","69,000","69,400","69,700","66,220","6.42M","0.00%"
"08/16/2024","69,000","65,100","70,000","65,100","18.52M","5.05%"
"08/15/2024","65,680","66,600","66,600","65,300","7.15M","-0.94%"
"08/14/2024","66,300","67,100","67,100","65,800","6.29M","-0.60%"
"08/13/2024","66,700","66,600","67,200","63,210","9.39M","9.17%"
"08/12/2024","61,100","65,800","66,800","61,100","11.01M","-5.68%"
"08/09/2024","64,780","61,000","65,800","61,000","17.52M","3.81%"
"08/08/2024","62,400","62,300","62,900","61,230","5.79M","0.16%"
"08/07/2024","62,300","62,500","62,520","61,500","4.79M","0.00%"
"08/06/2024","62,300","60,300","63,000","60,300","6.42M","1.14%"
"08/05/2024","61,600","62,000","63,800","59,600","11.58M","-2.07%"
"08/02/2024","62,900","61,000","62,900","60,700","7.61M","1.29%"
"08/01/2024","62,100","63,800","63,800","61,500","10.61M","-2.66%"
"07/31/2024","63,800","63,900","64,500","63,500","10.33M","1.27%"
"07/30/2024","63,000","62,000","63,200","61,900","5.47M","1.61%"
"07/29/2024","62,000","61,400","62,400","61,100","5.34M","1.64%"
"07/26/2024","61,000","60,500","61,000","60,400","4.38M","0.00%"
"07/25/2024","61,000","60,000","61,000","59,700","4.90M","-0.65%"
"07/24/2024","61,400","61,600","62,000","58,600","15.06M","-1.76%"
"07/23/2024","62,500","65,000","65,000","62,000","9.20M","-4.29%"
"07/22/2024","65,300","65,200","65,400","63,800","5.88M","-0.46%"
"07/19/2024","65,600","65,000","66,300","64,700","12.01M","0.92%"
"07/18/2024","65,000","63,500","65,000","63,400","7.94M","2.36%"
"07/17/2024","63,500","64,700","64,700","62,200","16.98M","-0.94%"
"07/16/2024","64,100","64,600","65,300","64,100","7.68M","-0.31%"
"07/15/2024","64,300","64,900","65,000","64,100","3.69M","-0.77%"
"07/12/2024","64,800","64,800","65,400","64,100","8.74M","0.00%"
"07/11/2024","64,800","65,400","65,700","64,600","8.30M","-0.61%"
"07/10/2024","65,200","66,700","66,800","65,200","10.91M","-2.40%"
"07/09/2024","66,800","67,200","67,200","66,300","7.98M","-0.30%"
"07/08/2024","67,000","65,600","67,400","65,600","10.45M","2.13%"
"07/05/2024","65,600","65,200","65,800","65,000","7.94M","0.77%"
"07/04/2024","65,100","65,700","66,300","64,900","5.86M","-0.61%"
"07/03/2024","65,500","65,900","66,400","65,100","7.44M","-0.76%"
"07/02/2024","66,000","65,800","66,000","64,700","9.25M","0.30%"
"07/01/2024","65,800","62,600","65,800","62,000","21.79M","5.45%"
"06/28/2024","62,400","63,100","63,100","61,600","6.19M","-1.58%"
"06/27/2024","63,400","62,000","63,600","62,000","8.30M","1.28%"
"06/26/2024","62,600","62,500","63,200","61,300","8.19M","0.97%"
"06/25/2024","62,000","62,000","62,700","61,600","6.38M","0.00%"
"06/24/2024","62,000","63,500","63,500","61,500","11.38M","-2.36%"
"06/21/2024","63,500","63,000","64,700","62,400","7.14M","0.00%"
"06/20/2024","63,500","63,200","63,500","62,500","5.64M","0.32%"
"06/19/2024","63,300","61,900","63,700","61,600","7.69M","1.77%"
"06/18/2024","62,200","62,100","62,500","61,100","7.17M","0.32%"
"06/17/2024","62,000","62,800","62,800","61,000","9.50M","-1.59%"
"06/14/2024","63,000","64,000","64,200","63,000","8.12M","-1.56%"
"06/13/2024","64,000","63,700","64,400","63,100","7.86M","0.95%"
"06/12/2024","63,400","62,600","63,900","62,000","5.02M","1.77%"
"06/11/2024","62,300","63,300","63,400","61,800","6.44M","-1.11%"
"06/10/2024","63,000","62,200","63,300","62,000","4.85M","1.45%"
"06/07/2024","62,100","62,300","62,800","61,800","4.30M","0.32%"
"06/06/2024","61,900","62,000","62,500","61,600","7.07M","-0.16%"
"06/05/2024","62,000","63,000","63,300","61,600","13.78M","-2.82%"
"06/04/2024","63,800","64,000","64,200","63,100","6.57M","-0.31%"
"06/03/2024","64,000","63,900","64,100","63,200","8.26M","0.63%"
"05/31/2024","63,600","62,800","64,400","62,400","10.26M","1.27%"
"05/30/2024","62,800","59,900","62,800","59,200","14.76M","3.80%"
"05/29/2024","60,500","61,600","62,000","60,500","6.88M","-1.63%"
"05/28/2024","61,500","60,400","62,800","60,100","9.93M","2.50%"
"05/27/2024","60,000","60,100","60,500","59,200","6.37M","-0.83%"
"05/24/2024","60,500","61,200","61,700","58,900","13.65M","-2.42%"
"05/23/2024","62,000","60,700","62,000","60,000","8.86M","1.64%"
"05/22/2024","61,000","60,600","61,600","59,600","8.95M","0.83%"
"05/21/2024","60,500","60,600","61,300","60,000","4.73M","0.83%"
"05/20/2024","60,000","60,000","61,600","59,500","9.20M","0.67%"
"05/17/2024","59,600","59,800","60,300","59,000","8.96M","-0.50%"
"05/16/2024","59,900","60,900","61,100","59,700","12.94M","-1.48%"
"05/15/2024","60,800","60,600","62,100","60,000","13.07M","1.16%"
"05/14/2024","60,100","58,500","61,000","58,000","16.22M","3.09%"
"05/13/2024","58,300","58,900","58,900","58,000","7.24M","-1.02%"
"05/10/2024","58,900","58,800","59,000","57,400","9.75M","0.00%"
"05/09/2024","58,900","59,000","59,200","58,400","10.48M","-0.34%"
"05/08/2024","59,100","58,600","59,300","58,200","8.13M","-0.34%"
"05/07/2024","59,300","58,800","59,500","57,500","9.46M","1.72%"
"05/06/2024","58,300","56,100","58,800","55,800","11.26M","4.67%"
"05/03/2024","55,700","55,700","57,200","55,000","29.62M","0.18%"
"05/02/2024","55,600","56,000","56,800","54,700","21.95M","1.28%"
"04/26/2024","54,900","53,500","55,000","53,000","11.86M","2.04%"
"04/25/2024","53,800","52,100","53,800","51,400","19.32M","2.87%"
"04/24/2024","52,300","50,200","52,300","49,850","11.53M","5.02%"
"04/23/2024","49,800","49,100","50,300","48,650","18.04M","2.47%"
"04/22/2024","48,600","49,200","49,400","48,150","12.29M","0.83%"
"04/19/2024","48,200","49,250","49,300","48,050","9.47M","-2.43%"
"04/17/2024","49,400","50,400","50,400","48,950","6.95M","-1.00%"
"04/16/2024","49,900","49,500","50,000","48,700","11.62M","0.00%"
"04/15/2024","49,900","51,700","52,000","49,500","16.51M","-4.04%"
"04/12/2024","52,000","52,300","52,600","51,600","6.67M","-0.57%"
"04/11/2024","52,300","51,200","52,800","51,200","6.97M","0.58%"
"04/10/2024","52,000","52,900","53,200","51,700","10.16M","-1.52%"
"04/09/2024","52,800","50,000","53,100","49,800","19.49M","5.60%"
"04/08/2024","50,000","51,000","51,000","49,800","6.09M","-1.96%"
"04/05/2024","51,000","50,000","51,500","49,450","8.15M","0.59%"
"04/04/2024","50,700","50,000","50,700","49,000","13.05M","1.00%"
"04/03/2024","50,200","51,000","51,200","49,900","14.38M","-2.71%"
"04/02/2024","51,600","51,000","51,600","49,950","12.31M","0.39%"
"04/01/2024","51,400","50,800","52,600","50,700","13.70M","0.59%"
"03/29/2024","51,100","51,000","52,000","50,800","11.81M","0.20%"
"03/28/2024","51,000","50,800","52,200","50,400","11.65M","0.59%"
"03/27/2024","50,700","48,800","51,400","48,550","12.74M","4.21%"
"03/26/2024","48,650","48,300","48,900","47,800","7.52M","0.72%"
"03/25/2024","48,300","49,000","50,300","48,300","10.37M","-1.63%"
"03/22/2024","49,100","48,700","49,400","48,000","12.08M","1.24%"
"03/21/2024","48,500","48,500","48,950","48,000","9.10M","1.04%"
"03/20/2024","48,000","45,600","48,650","45,600","20.64M","5.49%"
"03/19/2024","45,500","46,000","46,400","45,350","8.06M","-0.87%"
"03/18/2024","45,900","47,200","47,950","45,650","12.15M","-3.06%"
